Date,Time,Open,High,Low,Close,Volume
09/29/2014,00:00:00,375.93,386.56,373.93,378.3,4926.28
09/29/2014,04:00:00,377.84,381.4,368.5,374.0,3706.58
09/29/2014,08:00:00,373.92,380.0,372.0,378.0,1963.62
09/29/2014,12:00:00,378.01,383.0,376.25,381.2,2800.16
09/29/2014,16:00:00,381.35,385.75,374.93,375.98,4182.95
09/29/2014,20:00:00,375.99,377.01,368.0,373.64,3889.95
09/30/2014,00:00:00,373.64,378.0,370.0,375.17,1492.39
09/30/2014,04:00:00,376.68,378.0,370.53,376.12,954.38
09/30/2014,08:00:00,375.94,380.0,373.3,379.02,1377.18
09/30/2014,12:00:00,378.79,385.2,374.95,385.0,3550.95
09/30/2014,16:00:00,384.76,398.7,379.7,393.2,5473.01
09/30/2014,20:00:00,393.0,398.0,384.0,387.0,4037.52
10/01/2014,00:00:00,386.93,390.88,383.0,387.92,2162.41
10/01/2014,04:00:00,388.15,391.18,384.5,385.8,1049.27
10/01/2014,08:00:00,385.8,387.49,380.1,380.26,1858.73
10/01/2014,12:00:00,380.47,386.25,377.0,380.98,2348.31
10/01/2014,16:00:00,380.83,385.0,377.4,382.0,1725.99
10/01/2014,20:00:00,382.43,384.42,379.29,383.63,937.75
10/02/2014,00:00:00,382.72,385.52,382.5,383.79,964.82
10/02/2014,04:00:00,383.81,384.49,375.41,375.41,1868.35
10/02/2014,08:00:00,375.34,380.0,374.25,378.88,1574.77
10/02/2014,12:00:00,378.88,379.87,370.75,371.3,2964.55
10/02/2014,16:00:00,371.29,376.5,370.0,375.99,2062.32
10/02/2014,20:00:00,376.09,377.0,367.8,371.39,2463.12
10/03/2014,00:00:00,371.39,373.74,367.8,371.55,1550.97
10/03/2014,04:00:00,371.53,374.7,370.51,373.33,845.77
10/03/2014,08:00:00,373.37,376.86,371.24,372.04,1473.73
10/03/2014,12:00:00,371.9,372.5,363.0,367.9,5517.77
10/03/2014,16:00:00,367.93,368.4,358.1,362.2,7221.46
